ID	Group	Init. Comp.	I->D	D->R
Ind0	NA	NA	NA	NA
Ind1	NA	NA	NA	NA
Ind2	NA	NA	NA	NA
Ind3	NA	NA	NA	NA
Ind4	NA	NA	NA	NA
Ind5	NA	NA	NA	NA
Ind6	NA	NA	NA	NA
Ind7	NA	NA	NA	NA
Ind8	NA	NA	NA	NA
Ind9	NA	NA	NA	NA
Ind10	NA	NA	NA	NA
Ind11	NA	NA	NA	NA
Ind12	NA	NA	NA	NA
Ind570	23	S	no	no
Ind571	23	S	no	no
Ind572	23	S	no	no
Ind573	23	S	6.23665892122064	18.5526326017998
Ind574	23	S	no	no
Ind575	23	S	no	no
Ind576	23	S	no	no
Ind577	23	S	no	no
Ind578	23	S	no	no
Ind579	23	S	6.03657403494194	8.81671603483131
Ind580	23	S	no	no
Ind581	23	S	no	no
Ind582	23	S	no	no
Ind583	23	S	no	no
Ind584	23	S	no	no
Ind585	23	S	no	no
Ind586	23	S	no	no
Ind587	23	S	no	no
Ind588	23	S	no	no
Ind589	24	E	7.31676938919592	18.645330044244
Ind590	24	E	6.72464410408815	19.3334174867886
Ind591	24	E	1.19903493554392	11.9142274963063
Ind592	24	E	0.27557630692962	2.0677272357808
Ind593	24	E	10.9198706832218	30.0420666140813
Ind594	24	S	no	no
Ind595	24	S	no	no
Ind596	24	S	no	no
Ind597	24	S	no	no
Ind598	24	S	31.6371501502388	32.6624403308712
Ind599	24	S	40.3014002097619	51.8499458687061
Ind600	24	S	8.59373531733142	10.6363580697386
Ind601	24	S	no	no
Ind602	24	S	no	no
Ind603	24	S	11.3306546098513	30.3526757011294
Ind604	24	S	no	no
Ind605	24	S	no	no
Ind606	24	S	14.963867437141	24.5391450713494
Ind607	24	S	no	no
Ind608	24	S	41.6644621583322	41.8776106848148
Ind609	24	S	no	no
Ind610	24	S	42.0450663040966	44.0204733990762
Ind611	24	S	16.6134755693311	24.6388020436921
Ind612	24	S	48.6231269026915	53.8482703663241
Ind613	24	S	no	no
Ind614	25	E	6.65765646321073	9.88009787466047
Ind615	25	E	1.87097611190993	2.3237591201166
Ind616	25	E	11.9454116230876	20.4195195225721
Ind617	25	E	15.4247674059179	17.6978516603996
Ind618	25	E	2.53168978856593	4.09453860973411
Ind619	25	S	47.0609949458298	48.4936703517818
Ind620	25	S	no	no
Ind621	25	S	34.9876071747338	39.1453977141083
Ind622	25	S	no	no
Ind623	25	S	48.1051916116964	73.4946606577069
Ind624	25	S	no	no
Ind625	25	S	19.6132923617138	22.4208424478315
Ind626	25	S	no	no
Ind627	25	S	31.2991597498873	48.2345877660243
Ind628	25	S	25.8048028351996	49.7421583060762
Ind629	25	S	no	no
Ind630	25	S	no	no
Ind631	25	S	no	no
Ind632	25	S	no	no
Ind633	25	S	no	no
Ind634	25	S	no	no
Ind635	25	S	58.9912911221728	62.740241195495
Ind636	25	S	no	no
Ind637	25	S	no	no
Ind638	25	S	56.0677275231693	59.1535670228609
Ind639	26	E	10.8933335308448	11.08986407142
Ind640	26	E	5.72553361778074	21.1474127151721
Ind641	26	E	20.0788196990775	21.7113397713514
Ind642	26	E	6.05232889874398	6.44007690300963
Ind643	26	E	8.28450051567212	16.8016834387449
Ind644	26	S	no	no
Ind645	26	S	no	no
Ind646	26	S	no	no
Ind647	26	S	no	no
Ind648	26	S	no	no
Ind649	26	S	no	no
Ind650	26	S	no	no
Ind651	26	S	no	no
Ind652	26	S	no	no
Ind653	26	S	no	no
Ind654	26	S	no	no
Ind655	26	S	no	no
Ind656	26	S	no	no
Ind657	26	S	no	no
Ind658	26	S	no	no
Ind659	26	S	no	no
Ind660	26	S	no	no
Ind661	26	S	no	no
Ind662	26	S	no	no
Ind663	26	S	18.1334854674165	18.4697660419992
Ind664	27	E	1.87202961983674	16.3467504885155
Ind665	27	E	2.29269710097891	17.2936122448868
Ind666	27	E	9.25902512373404	18.8943100007555
Ind667	27	E	2.42488777997319	13.8542606633526
Ind668	27	E	8.41933688549962	12.8327230088604
Ind669	27	S	21.0638334345041	22.412478919592
Ind670	27	S	23.3934316487753	32.1315230899145
Ind671	27	S	no	no
Ind672	27	S	no	no
Ind673	27	S	8.09733419073144	29.6076201603225
Ind674	27	S	25.4978346904946	33.7802921061215
Ind675	27	S	no	no
Ind676	27	S	no	no
Ind677	27	S	19.7345119434649	25.2390680905582
Ind678	27	S	no	no
Ind679	27	S	9.54676697682925	16.1814476916988
Ind680	27	S	no	no
Ind681	27	S	36.925077697313	40.4552360195516
Ind682	27	S	15.0035247374697	16.1162542724761
Ind683	27	S	10.2811882155011	10.8734741993746
Ind684	27	S	10.5261113717384	10.9543604364487
Ind685	27	S	19.4142166962926	19.4857543858636
Ind686	27	S	no	no
Ind687	27	S	20.344583044795	24.0348865503376
Ind688	27	S	no	no
Ind689	28	E	9.79077425514167	30.379550100156
Ind690	28	E	2.7801529571503	2.81168376558489
