ID	Group	Init. Comp.	Donor	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind506	20	S	0	4.47496	23.9937	29.8906	87.1812	0.636828	-0.318211	0.595808	-0.101924	1.2309	-0.358048
Ind507	20	S	0	2.90851	6.49394	12.5625	13.4265	-0.447103	0.188628	0.586713	0.319611	0.428671	-0.358426
Ind508	20	S	0	2.15692	47.2889	50.2164	117.151	0.665969	1.68752	0.712247	0.868938	0.315837	0.972548
Ind509	20	S	0	12.6448	15.6206	15.7565	17.859	2.22848	-0.217681	-0.0172973	0.0531438	0.204019	-0.881114
Ind510	20	S	0	1.50749	2.05842	3.70467	3.76258	1.11286	0.37473	1.41659	0.963524	0.428704	-2.82916
Ind511	20	S	0	6.10218	7.2166	41.556	83.2492	0.0902318	-2.46262	-0.331888	-0.307906	-0.695966	2.19563
Ind512	20	S	0	2.90739	2.92465	5.06514	5.85775	1.47398	-0.62319	0.971357	-0.354232	-1.07164	-0.761635
Ind513	20	S	0	3.78114	22.6717	37.6975	130.798	0.0765411	-1.56597	0.0886072	-0.954911	-0.112145	1.72547
Ind514	21	E	1	no	4.00157	5.10984	5.95977	1.75286	-0.0798381	0.885667	-0.272526	-0.878708	0.340221
Ind515	21	E	1	no	9.67062	17.3323	26.8083	1.25379	0.259298	0.029073	-0.556464	-0.440993	1.53696
Ind516	21	E	1	no	3.18652	4.65888	11.2543	-0.162326	0.718293	-0.00481592	-0.83397	-0.662797	0.79622
Ind517	21	E	1	no	0.216199	0.404664	10.2616	1.63854	1.22795	0.413005	0.714899	-0.448936	-0.746793
Ind518	21	E	1	no	0.721246	8.60459	15.5471	1.96003	1.17357	-0.0994499	-0.0257328	-0.865273	0.68878
Ind519	21	S	0	5.62288	15.6709	24.5885	33.4043	-0.141544	0.944754	-1.01436	-0.634246	-0.651789	0.984794
Ind520	21	S	0	0.724078	0.79013	1.1051	1.84088	0.275612	0.476136	0.569717	0.545804	-1.37486	-0.361997
Ind521	21	S	0	0.744541	1.64347	2.23399	2.36681	-0.441161	1.06654	0.517976	0.643522	-0.251823	-1.54238
Ind522	21	S	0	0.406975	0.601746	0.605627	0.871641	0.16773	1.43073	0.17373	0.530795	-0.862378	-1.74488
Ind523	21	S	0	3.96934	4.35645	6.12253	6.70962	-1.22692	0.113474	-1.3913	0.0914228	-0.194201	0.323808
Ind524	21	S	0	1.5935	7.00054	21.7361	22.5945	-0.453104	-0.75658	2.07793	-0.274818	0.827223	0.636267
Ind525	21	S	0	0.848786	6.8523	7.00153	22.1252	1.24509	-0.398661	2.13036	0.650786	0.295348	0.446013
Ind526	21	S	0	2.68013	4.13451	30.094	40.9557	-0.357377	0.443285	1.21397	-0.459755	0.335499	0.835117
Ind527	21	S	0	1.38001	10.1625	130.356	296.788	0.471123	-1.50517	1.5882	-0.0301154	1.15385	1.50395
Ind528	21	S	0	1.86643	2.35827	4.92668	9.17327	0.169223	-0.928571	1.41028	-0.0196937	0.137079	-0.274291
Ind529	21	S	0	0.363643	11.0063	17.0551	20.8978	-0.138591	0.963758	1.07346	1.32833	-0.197476	0.403972
Ind530	21	S	0	1.01829	14.8623	42.1192	70.9822	-1.18153	-1.01995	1.62039	0.0801865	0.765435	0.634466
Ind531	21	S	0	0.905986	29.8551	50.7741	97.2024	-1.67076	-1.86893	0.0195066	-1.67507	1.28564	1.00498
Ind532	21	S	0	1.71884	2.55251	3.80256	8.45027	-0.427851	0.0692857	1.61475	-0.980769	0.136895	-0.751477
Ind533	21	S	0	3.37829	6.50019	22.6082	26.2139	-0.920908	-1.11508	0.700962	-1.08635	0.288972	0.990411
Ind534	21	S	0	2.32172	3.69556	4.38005	9.32465	-0.895011	1.07206	-1.27437	0.517011	-0.72493	-0.249625
Ind535	21	S	0	2.32817	2.74543	3.60822	6.81792	0.745871	1.98382	0.414369	0.554159	-1.23755	0.216696
Ind536	21	S	0	no	no	no	no	-0.72003	0.616699	-0.35616	-1.43846	-1.42189	-1.98852
Ind537	21	S	0	8.23271	8.37177	9.14239	9.2389	0.904694	-1.449	-1.46556	0.203798	-1.69028	0.74437
Ind538	21	S	0	3.45029	9.81892	11.344	11.856	0.177031	-0.491421	-0.799123	-1.14613	-1.07273	-0.497028
Ind539	22	E	1	no	4.54693	6.53113	9.19147	0.221031	0.157096	0.326967	0.119087	0.115904	-0.343167
